country_id,country,state,city,district,district_region,area,pincode
1,India,Delhi,Delhi,Central Delhi,Indraprastha,,110002
1,India,Delhi,Delhi,Central Delhi,Jama Masjid,,110006
1,India,Delhi,Delhi,Central Delhi,Janpath,,110001
1,India,Delhi,Delhi,Central Delhi,Karol Bagh,,110005
1,India,Delhi,Delhi,Central Delhi,Krishi Bhawan,,110001
1,India,Delhi,Delhi,Central Delhi,Lady Harding medical college,,110001
1,India,Delhi,Delhi,Central Delhi,Master Prithvi nath marg,,110005
1,India,Delhi,Delhi,Central Delhi,Minto Road,,110002
1,India,Delhi,Delhi,Central Delhi,Multani Dhanda,,110055
1,India,Delhi,Delhi,Central Delhi,National Physical laboratory,,110012
1,India,Delhi,Delhi,Central Delhi,Nirman Bhawan,,110011
1,India,Delhi,Delhi,Central Delhi,North Avenue,,110001
1,India,Delhi,Delhi,Central Delhi,Pahar Ganj,,110055
1,India,Delhi,Delhi,Central Delhi,Pandara Road,,110003
1,India,Delhi,Delhi,Central Delhi,Parliament House,,110001
1,India,Delhi,Delhi,Central Delhi,Patel Nagar (Central Delhi),,110008
1,India,Delhi,Delhi,Central Delhi,Patel Nagar south,,110008
1,India,Delhi,Delhi,Central Delhi,Patel Nagar west,,110008
1,India,Delhi,Delhi,Central Delhi,Patiala House,,110001
1,India,Delhi,Delhi,Central Delhi,Pragati Maidan,,110001
1,India,Delhi,Delhi,Central Delhi,Rail Bhawan,,110001
1,India,Delhi,Delhi,Central Delhi,Rajender Nagar,,110060
1,India,Delhi,Delhi,Central Delhi,Rajghat Power house,,110002
1,India,Delhi,Delhi,Central Delhi,Rashtrapati Bhawan,,110004
1,India,Delhi,Delhi,Central Delhi,Sansad Marg,,110001
1,India,Delhi,Delhi,Central Delhi,Sansadiya Soudh,,110001
1,India,Delhi,Delhi,Central Delhi,Sat Nagar,,110005
1,India,Delhi,Delhi,Central Delhi,Secretariat North,,110001
1,India,Delhi,Delhi,Central Delhi,Shastri Bhawan,,110001
1,India,Delhi,Delhi,Central Delhi,South Avenue,,110011
1,India,Delhi,Delhi,Central Delhi,Supreme Court,,110001
1,India,Delhi,Delhi,Central Delhi,Swami Ram tirth nagar,,110055
1,India,Delhi,Delhi,Central Delhi,Udyog Bhawan,,110011
1,India,Delhi,Delhi,Central Delhi,Union Public service commission,,110069
1,India,UttarPradesh,Greater Noida,Greater Noida,Aimnabad,,201306
1,India,UttarPradesh,Greater Noida,Greater Noida,Alpha Commercial Belt,,201310
1,India,UttarPradesh,Greater Noida,Greater Noida,Alpha I,,201310
1,India,UttarPradesh,Greater Noida,Greater Noida,Alpha II,,201308
1,India,UttarPradesh,Greater Noida,Greater Noida,AWHO III,,201308
1,India,UttarPradesh,Greater Noida,Greater Noida,Badalpur,,203207
1,India,UttarPradesh,Greater Noida,Greater Noida,Beta I,,201308
1,India,UttarPradesh,Greater Noida,Greater Noida,Beta II,,201310
1,India,UttarPradesh,Greater Noida,Greater Noida,Bironda,,201310
1,India,UttarPradesh,Greater Noida,Greater Noida,Birondi,,201301
1,India,UttarPradesh,Greater Noida,Greater Noida,Bodaki,,203207
1,India,UttarPradesh,Greater Noida,Greater Noida,Bulandshahr,,203202
1,India,UttarPradesh,Greater Noida,Greater Noida,Chhapraula,,201009
1,India,UttarPradesh,Greater Noida,Greater Noida,Dadha,,201310
1,India,UttarPradesh,Greater Noida,Greater Noida,Dadri,,203207
1,India,UttarPradesh,Greater Noida,Greater Noida,Dankaur,,203201
1,India,UttarPradesh,Greater Noida,Greater Noida,Delta I,,201308
1,India,UttarPradesh,Greater Noida,Greater Noida,Delta II,,201310
